,country_name,years,women_owner,women_agri,women_eng,women_employ_ratio,men_employ_ratio,employ_ratio_total,advanced_women,advanced_men,advanced_studies,basic_women,basic_men,basic_studies,intermediate_women,intermediate_men,intermediate_studies,force_women,women_bussines,women_tech
44,Italy,2019,24.0,47.593555,34.04529363636364,36.68000031,53.77999878,44.93000031,73.19999695,76.13999939,74.48999786,22.37999916,46.02000046,33.97000122,54.88000107,70.90000153,62.95999908,42.69250997,54.40872090909091,18.13726090909091
45,Japan,1994,24.56875,45.98752,33.49495727272727,48.70999908,75.59999847,61.79000092,73.09666443,77.71499888166667,75.25666427333334,24.24888822666667,49.897777983333334,36.68666754777778,53.20166778666667,70.46166738166667,61.74499892833334,40.31917216,54.55009181818182,20.010341818181818
46,Japan,1999,25.1375,44.381485,32.94462090909091,47.40999985,73.22000122,59.93000031,72.99333191,79.28999837333333,76.02333068666667,26.117777293333333,53.77555550666666,39.40333387555555,51.52333450333333,70.02333323333333,60.529998776666666,40.35717206,54.69146272727273,21.883422727272727
47,Japan,2004,25.70625,42.77545,32.394284545454546,46.11999893,69.81999969,57.59000015,72.88999939,80.86499786499999,76.7899971,27.98666636,57.65333303,42.12000020333333,49.84500122,69.58499908499999,59.314998625,40.85398754,54.83283363636364,23.756503636363636
48,Japan,2009,26.275,41.169415,31.84394818181818,46.20999908,68.20999908,56.84999847,72.78666687,82.43999735666667,77.55666351333333,29.85555542666667,61.531110553333335,44.83666653111111,48.16666793666667,69.14666493666667,58.099998473333336,41.59421071,54.97420454545455,25.62958454545455
49,Japan,2014,26.84375,39.56338,31.29361181818182,47.58000183,67.73000336,57.31000137,72.68333435,84.01499684833334,78.32332992666667,31.724444493333337,65.40888807666667,47.55333285888889,46.48833465333333,68.70833078833334,56.884998321666664,42.59001613,55.11557545454545,27.502665454545458
50,Japan,2019,27.4125,38.700008000000004,30.743275454545454,52.18999863,69.66000366,60.61999893,72.58000183,85.58999634,79.08999634,33.593333560000005,69.28666559999999,50.269999186666666,44.81000137,68.26999664,55.66999817,44.25557384,55.25694636363636,29.375746363636367
51,Mexico,1994,27.98125,37.836636,30.192939090909093,36.22000122,82.83999634,58.72000122,72.48333486,86.46666463333334,79.70999654333333,35.46222262666667,73.16444312333334,52.98666551444445,44.223333993333334,69.72666422333333,56.62333170666667,31.43982993,55.39831727272727,31.248827272727276
52,Mexico,1999,28.55,36.973264,29.642602727272727,39.13000107,83.66999817,60.40000153,72.38666789,87.34333292666666,80.32999674666667,37.331111693333334,77.04222064666666,55.70333184222223,43.636666616666666,71.18333180666667,57.57666524333333,33.15956972,55.53968818181818,33.121908181818185
53,Mexico,2004,29.11875,36.109891999999995,29.092266363636366,37.83000183,77.45999908,56.52999878,72.29000092,88.22000122,80.94999695,39.20000076,80.91999817,58.41999817,43.04999924,72.63999939,58.52999878,34.95953166,55.68105909090909,34.994989090909094
54,Mexico,2009,29.6875,35.24652,28.54193,40.47000122,74.76999664,56.68000031,74.94000244,89.05000305,82.30000305,38.86999893,78.66000366,58.16999817,51.31000137,78.81999969,63.63999939,36.84130466,55.82243,36.86807
55,Mexico,2014,30.25625,36.34598,27.86407,40.95000076,74.5,56.88999939,72.08000183,87.56999969,79.83999634,38.88999939,77.58999634,57.70000076,50.00999832,79.47000122,63.50999832,37.24375061,56.2024,37.43118
56,Mexico,2019,30.825000000000003,37.842749999999995,27.125245,43.13000107,74.48000336,58.00999832,70.68000031,84.44999695,77.48999786,40.13000107,76.34999847,57.54999924,49.95999908,79.69000244,63.83000183,38.488743,55.882968999999996,36.30342666666667
57,Russia,1994,31.39375,39.33952,26.38642,54.36000061,67.37999725,60.50999832,69.660000614,82.861997988,76.121998594,36.354000856,67.929998776,51.611999514,54.023999020000005,80.638002014,66.452001952,47.32351279,55.563538,35.17567333333333
58,Russia,1999,31.962500000000002,40.83629,25.647595000000003,52.00999832,62.04999924,56.77000046,68.640000918,81.273999026,74.753999328,32.578000642,59.509999082,45.673999788,58.08799896,81.586001588,69.074002074,48.25736765,55.244107,34.04792
59,Russia,2004,32.53125,42.333059999999996,24.90877,56.25999832,64.90000153,60.33000183,67.620001222,79.686000064,73.386000062,28.802000428,51.089999387999995,39.736000062,62.1519989,82.534001162,71.696002196,49.04176094,54.924676,32.92016666666667
60,Russia,2009,33.1,43.82983,24.169945,57.74000168,66.87000275,62.02000046,66.600001526,78.098001102,72.018000796,25.026000214,42.669999694,33.798000336,66.21599884,83.482000736,74.318002318,48.9760077,54.605245,31.792413333333332
61,Russia,2014,33.55,45.3266,23.43112,60.29000092,70.98999786,65.33000183,65.58000183,76.51000214,70.65000153,21.25,34.25,27.86000061,70.27999878,84.43000031,76.94000244,48.5651126,54.285814,30.664659999999998
62,Russia,2019,34.0,46.82337,22.692295,52.90999985,67.26999664,59.41999817,61.52999878,73.94000244,67.06999969,14.35000038,31.04999924,21.80999947,60.20999908,77.91000366,68.40000153,48.60287364,53.966383,29.536906666666667
63,United Kingdom,1994,34.0,48.32014,21.95347,48.63000107,63.38000107,55.79000092,86.81999969,92.75,90.11000061,62.36000061,77.77999878,69.51000214,76.31999969,86.98000336,82.52999878,44.19990503,53.646952,28.409153333333336
64,United Kingdom,1999,34.0,49.81691,21.214644999999997,51.02000046,65.41000366,57.95000076,87.48999786,91.98999786,89.90000153,63.38000107,76.51999664,68.87000275,76.98000336,86.29000092,82.33999634,45.10574614,53.327521000000004,27.2814
65,United Kingdom,2004,34.0,59.79021,20.47582,52.63000107,65.87999725,59.04000092,87.48000336,91.66000366,89.63999939,62.49000168,74.26999664,67.73000336,75.98000336,84.93000031,80.93000031,45.65054795,53.00809,24.56532
66,United Kingdom,2009,34.0,62.03051,21.73475,52.54000092,63.45999908,57.84999847,81.69999695,88.48999786,85.01000214,48.45999908,69.06999969,57.61000061,70.19999695,80.11000061,75.44000244,45.95522414,50.97621,19.39414
67,United Kingdom,2014,34.0,64.81841,22.36553,53.70999908,64.25,58.84999847,80.51999664,87.12000275,83.69000244,47.79000092,67.51999664,56.95999908,69.33999634,78.79000092,74.30000305,46.41063933,51.59235,18.80898
68,United Kingdom,2019,34.0,62.45560833333333,22.215836666666668,56.38999939,65.5,60.84999847,81.76999664,87.58999634,84.51000214,51.75999832,68.94000244,60.49000168,69.69000244,79.58000183,74.81999969,47.04181597,51.48547000000001,19.174986666666666
69,United States,1994,34.0,60.09280666666667,22.066143333333333,55.29999924,70.48000336,62.58000183,75.66000366,86.47000122,81.12999725,24.36000061,47.11999893,35.43000031,58.08000183,75.01999664,65.98999786,45.1603889,51.37859,19.540993333333333
70,United States,1999,34.0,57.730005,21.916449999999998,57.43000031,71.65000153,64.25,74.73000336,84.83000183,79.75,27.17000008,49.06999969,37.97000122,58.18999863,73.69999695,65.48999786,45.54438169,51.27171,19.906999999999996
71,United States,2004,34.0,55.36720333333333,21.766756666666666,55.97000122,69.19000244,62.34999847,73.01999664,83.01999664,77.87000275,28.48999977,53.61000061,41.27000046,56.0,71.04000092,63.18000031,45.75640182,51.16483,20.273006666666664
72,United States,2009,34.0,53.004401666666666,21.617063333333334,54.41999817,64.55000305,59.31999969,73.34999847,81.76000214,77.33000183,29.70999908,53.58000183,41.95999908,54.11000061,68.72000122,61.22999954,46.17637567,51.057950000000005,20.63901333333333
73,United States,2014,34.0,50.6416,21.46737,53.52000046,64.87999725,59.00999832,70.38999939,78.93000031,74.34999847,28.60000038,52.68000031,40.84999847,50.63000107,64.98999786,57.70999908,45.96452856,50.95107,21.00502
74,United States,2019,34.0,50.6416,21.46737,55.36000061,66.58000183,60.77999878,69.37000275,77.51000214,73.12999725,30.10000038,54.25999832,42.18999863,50.11000061,64.61000061,57.36000061,46.16362585,50.95107,21.00502
